account_key,account_name,component,points_awarded,points_max,attainment_pct
447978318037,Flynas,Sector,20,20,1
447978318037,Flynas,Riyadh,15,15,1
447992494328,Unifonic,Access,5,5,1
447978318036,Ladun Investment Co.,Access,5,5,1
448043997423,Tamara,Riyadh,15,15,1
448044208376,Lean Technologies,Riyadh,15,15,1
448044208376,Lean Technologies,Access,5,5,1
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),Size,15,15,1
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),Access,5,5,1
448012991697,Tabby,Riyadh,15,15,1
448049660109,Al-Rashid Trading & Contracting Co.,Sector,20,20,1
448050150623,Dr. Sulaiman Al Habib Medical Group,Sector,20,20,1
447952146624,Dallah Healthcare Co.,Sector,20,20,1
448044209338,Al Ramz Real Estate Co. (Alramz),Size,15,15,1
448044209338,Al Ramz Real Estate Co. (Alramz),Riyadh,15,15,1
448044209338,Al Ramz Real Estate Co. (Alramz),Access,5,5,1
448049602788,Basma Adeem Medical Co. (Smile Care),Sector,20,20,1
448049602788,Basma Adeem Medical Co. (Smile Care),Riyadh,15,15,1
448049602788,Basma Adeem Medical Co. (Smile Care),Access,5,5,1
448043909360,Floward,Sector,20,20,1
448043909360,Floward,Access,5,5,1
448043909359,Abdullah Al-Othaim Markets,Sector,20,20,1
448043909359,Abdullah Al-Othaim Markets,Riyadh,15,15,1
448049743062,National Company for Learning & Education (NCLE),Sector,20,20,1
448049743062,National Company for Learning & Education (NCLE),Size,15,15,1
448049743062,National Company for Learning & Education (NCLE),Access,5,5,1
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,Size,15,15,1
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,Riyadh,15,15,1
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,Access,5,5,1
448044163264,Humain,Trigger,15,15,1
448044163264,Humain,Riyadh,15,15,1
448044163264,Humain,Need,10,10,1
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,Sector,20,20,1
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,HR,20,20,1
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,Trigger,15,15,1
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,Need,10,10,1
448043964636,Lucidya,Riyadh,15,15,1
448043964636,Lucidya,Access,5,5,1
448044126448,Lumi Rental,Sector,20,20,1
448044126448,Lumi Rental,Size,15,15,1
448044126448,Lumi Rental,Riyadh,15,15,1
448044126448,Lumi Rental,Access,5,5,1
