task_key,task_subject,task_status,is_completed,task_priority,due_date,due_month,opportunity_key,account_key,account_name,task_category,is_simulated,data_class
520232051925,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-12T00:00:00,2026-09-01T00:00:00,521695285463,448049602789,Al Hammadi Holding,Qualification,true,SIMULATED
520231334111,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-12T00:00:00,2026-09-01T00:00:00,521700253901,447992495290,Akdital International (Saudi operations),Qualification,true,SIMULATED
520232786143,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-10T00:00:00,2026-09-01T00:00:00,521694783726,448044671203,Nice One Beauty Digital Marketing Co.,Qualification,true,SIMULATED
520159764714,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-10T00:00:00,2026-09-01T00:00:00,521700168929,448049934536,Almasar Alshamil Education,Qualification,true,SIMULATED
520233390279,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-13T00:00:00,2026-09-01T00:00:00,521695831272,448044045529,Cherry Trading Co. (Cherry Rent a Car),Qualification,true,SIMULATED
520233390280,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-15T00:00:00,2026-09-01T00:00:00,521627406574,448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Qualification,true,SIMULATED
520161998027,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-14T00:00:00,2026-09-01T00:00:00,521695545579,448017350857,Sport Clubs Co. (Body Masters / Body Motions),Qualification,true,SIMULATED
520161279212,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-16T00:00:00,2026-09-01T00:00:00,521700514017,448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Qualification,true,SIMULATED
520231334110,Qualify account against ICP criteria (internal research),COMPLETED,true,HIGH,2026-09-11T00:00:00,2026-09-01T00:00:00,521695088850,447990598875,Specialized Medical Co. (SMC Healthcare),Qualification,true,SIMULATED
520123284679,Research key decision makers (simulated),NOT_STARTED,false,HIGH,2026-09-17T00:00:00,2026-09-01T00:00:00,521695285463,448049602789,Al Hammadi Holding,Stakeholder mapping,true,SIMULATED
520122997988,Prepare discovery meeting agenda (simulated),NOT_STARTED,false,HIGH,2026-09-16T00:00:00,2026-09-01T00:00:00,521700514017,448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Discovery preparation,true,SIMULATED
520158153945,Prepare personalized outreach (simulated — not sent),NOT_STARTED,false,HIGH,2026-09-17T00:00:00,2026-09-01T00:00:00,521700168929,448049934536,Almasar Alshamil Education,Outreach preparation,true,SIMULATED
520231334116,Prepare draft proposal outline for internal review (simulated),NOT_STARTED,false,LOW,2026-09-20T00:00:00,2026-09-01T00:00:00,521694783726,448044671203,Nice One Beauty Digital Marketing Co.,Proposal preparation,true,SIMULATED
520161279214,Map decision makers and confirm ICP fit (simulated),NOT_STARTED,false,HIGH,2026-09-23T00:00:00,2026-09-01T00:00:00,521627406574,448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Stakeholder mapping,true,SIMULATED
520232051933,Prepare personalized outreach draft (simulated — not sent),NOT_STARTED,false,HIGH,2026-09-25T00:00:00,2026-09-01T00:00:00,521695545579,448017350857,Sport Clubs Co. (Body Masters / Body Motions),Outreach preparation,true,SIMULATED
520233390284,Map decision makers and confirm ICP fit (simulated),NOT_STARTED,false,HIGH,2026-09-22T00:00:00,2026-09-01T00:00:00,521695088850,447990598875,Specialized Medical Co. (SMC Healthcare),Stakeholder mapping,true,SIMULATED
520233390285,Prepare discovery meeting agenda (simulated),NOT_STARTED,false,MEDIUM,2026-09-21T00:00:00,2026-09-01T00:00:00,521695831272,448044045529,Cherry Trading Co. (Cherry Rent a Car),Discovery preparation,true,SIMULATED
520123766974,Prepare personalized outreach draft (simulated — not sent),NOT_STARTED,false,MEDIUM,2026-09-24T00:00:00,2026-09-01T00:00:00,521700253901,447992495290,Akdital International (Saudi operations),Outreach preparation,true,SIMULATED
